Text Range,Leaf,Page,Bar Hama 2,Gap,Notes,URL-suffix
1 Kgs 9:2–9:22,79r,157,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_079r,,,079r
1 Kgs 9:22–10:15,79v,158,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_079v,,,079v
1 Kgs 10:15–11:8,80r,159,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_080r,,,080r
1 Kgs 11:8–11:29,80v,160,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_080v,,,080v
1 Kgs 11:29–12:7,81r,161,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_081r,,,081r
1 Kgs 12:8–12:26,81v,162,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_081v,,,081v
1 Kgs 12:26–13:11,82r,163,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_082r,,,082r
1 Kgs 13:11–13:33,82v,164,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_082v,,,082v
1 Kgs 13:33–14:19,83r,165,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_083r,,,083r
1 Kgs 14:20–15:13,83v,166,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_083v,,,083v
1 Kgs 15:13–15:33,84r,167,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_084r,,,084r
1 Kgs 15:33–16:20,84v,168,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_084v,,,084v
1 Kgs 16:20–17:9,85r,169,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_085r,,,085r
1 Kgs 17:9–18:7,85v,170,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_085v,,,085v
1 Kgs 18:7–18:27,86r,171,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_086r,,,086r
1 Kgs 18:27–19:3,86v,172,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_086v,,,086v
1 Kgs 19:3–20:2,87r,173,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_087r,,,087r
1 Kgs 20:2–20:23,87v,174,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_087v,,,087v
1 Kgs 20:23–20:41,88r,175,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_088r,,,088r
1 Kgs 20:41–21:18,88v,176,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_088v,,,088v
1 Kgs 21:18–22:10,89r,177,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_089r,,,089r
1 Kgs 22:10–22:32,89v,178,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_089v,,,089v
1 Kgs 22:32–2 Kgs 1:3,90r,179,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_090r,,,090r
2 Kgs 1:3–1:18,90v,180,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_090v,,,090v
2 Kgs 2:1–2:19,91r,181,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_091r,,Missing from 263,091r
2 Kgs 2:19–3:14,91v,182,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_091v,,"Missing from 263, Bar Hama 1",091v
2 Kgs 3:14–4:8,92r,183,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_092r,,,092r
2 Kgs 4:8–4:33,92v,184,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_092v,,,092v
2 Kgs 4:33–5:11,93r,185,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_093r,,,093r
2 Kgs 5:11–6:5,93v,186,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_093v,,,093v
2 Kgs 6:5–6:28,94r,187,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_094r,,,094r
2 Kgs 6:28–7:12,94v,188,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_094v,,,094v
2 Kgs 7:12–8:9,95r,189,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_095r,,,095r
2 Kgs 8:9–9:1,95v,190,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_095v,,,095v
2 Kgs 9:1–9:21,96r,191,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_096r,,,096r
2 Kgs 9:21–10:5,96v,192,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_096v,,,096v
